Kecamatan,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Sertifikat,Daya Listrik,Ruang Makan,Ruang Tamu,Kondisi Perabotan,Jumlah Lantai,Hadap,Terjangkau Internet,Lebar Jalan,Sumber Air,Hook,Kondisi Properti,Alamat,Tipe Iklan,Aksesibilitas,NJOP_Rp_per_m2,Tingkat_Keamanan
Tenggilis mejoyo,3,1,180,150,SHM - Sertifikat Hak Milik,2200.0,,,Unfurnished,1.0,,,,,,Butuh Renovasi,"Jl. Tenggilis Mejoyo Raya No.114, Surabaya (-7.214497, 112.689655)",Dijual,Baik,1000000.0,Tinggi
Rungkut,4,2,181,181,SHM - Sertifikat Hak Milik,1300.0,Tidak,Tidak,Unfurnished,1.0,Barat,Tidak,,,Tidak,Bagus,"Jl. Rungkut Raya No.22, Surabaya (-7.386742, 112.61952)",Keduanya,Baik,1032000.0,Tinggi
Rungkut,4,2,181,181,SHM - Sertifikat Hak Milik,1300.0,Tidak,Tidak,Unfurnished,1.0,Barat,Tidak,2 Mobil,PAM atau PDAM,Tidak,,"Jl. Rungkut Raya No.158, Surabaya (-7.326639, 112.74558)",Keduanya,Baik,1032000.0,Rendah
Sukolilo,3,2,181,150,SHM - Sertifikat Hak Milik,2200.0,,,Unfurnished,1.0,Selatan,,,,,Bagus,"Jl. Sukolilo Raya No.172, Surabaya (-7.319458, 112.793788)",Keduanya,Baik,1000000.0,Tinggi
Gubeng,6,3,192,192,"Lainnya (PPJB,Girik,Adat,dll)",2200.0,Tidak,Tidak,Unfurnished,1.0,Barat,Tidak,,PAM atau PDAM,Tidak,Bagus,"Jl. Gubeng Raya No.32, Surabaya (-7.399729, 112.713917)",Keduanya,Buruk,1147000.0,Tinggi
Genteng,3,2,200,135,SHM - Sertifikat Hak Milik,,Tidak,Tidak,Unfurnished,1.0,Utara,Tidak,,,Tidak,Bagus,"Jl. Genteng Raya No.179, Surabaya (-7.300582, 112.647034)",Dijual,Baik,1000000.0,Tinggi
Gubeng,5,3,200,250,SHM - Sertifikat Hak Milik,2200.0,Tidak,Tidak,Unfurnished,2.0,,Ya,,PAM atau PDAM,Tidak,Bagus,"Jl. Gubeng Raya No.174, Surabaya (-7.249438, 112.768641)",Dijual,Baik,1147000.0,Tinggi
Gubeng,5,3,200,250,"Lainnya (PPJB,Girik,Adat,dll)",2200.0,Ya,Ya,Unfurnished,2.0,,Ya,,PAM atau PDAM,Tidak,Bagus,"Jl. Gubeng Raya No.113, Surabaya (-7.235346, 112.770621)",Keduanya,Baik,1147000.0,Tinggi
Gubeng,5,3,200,250,"Lainnya (PPJB,Girik,Adat,dll)",2200.0,,Tidak,Unfurnished,2.0,,Tidak,,PAM atau PDAM,Tidak,Bagus,"Jl. Gubeng Raya No.120, Surabaya (-7.224121, 112.746557)",Disewa,Baik,1147000.0,Tinggi
Gubeng,5,2,200,125,SHM - Sertifikat Hak Milik,2200.0,Ya,Ya,Unfurnished,1.0,Selatan,Ya,2 Mobil,PAM atau PDAM,Tidak,Butuh Renovasi,"Jl. Gubeng Raya No.149, Surabaya (-7.302456, 112.723026)",Dijual,Baik,1147000.0,Tinggi
Kenjeran,3,2,200,180,SHM - Sertifikat Hak Milik,3500.0,Tidak,Tidak,Unfurnished,1.0,,Tidak,,PAM atau PDAM,Tidak,Bagus,"Jl. Kenjeran Raya No.122, Surabaya (-7.273873, 112.773558)",Dijual,Baik,1032000.0,Tinggi
Kenjeran,3,2,200,120,SHM - Sertifikat Hak Milik,3500.0,Ya,Ya,Unfurnished,2.0,Barat,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus,"Jl. Kenjeran Raya No.32, Surabaya (-7.384096, 112.632658)",Dijual,Baik,1032000.0,Tinggi
Kenjeran,3,2,200,150,SHM - Sertifikat Hak Milik,3500.0,Tidak,Tidak,Unfurnished,1.0,,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus,"Jl. Kenjeran Raya No.119, Surabaya (-7.302392, 112.78632)",Dijual,Baik,1032000.0,Tinggi
Rungkut,2,2,200,110,SHM - Sertifikat Hak Milik,2200.0,Ya,Ya,Unfurnished,1.0,Utara,Ya,,PAM atau PDAM,Tidak,Butuh Renovasi,"Jl. Rungkut Raya No.39, Surabaya (-7.369037, 112.789441)",Keduanya,Buruk,1032000.0,Tinggi
Rungkut,2,2,200,110,SHM - Sertifikat Hak Milik,2200.0,Ya,Ya,Unfurnished,1.0,Utara,Ya,,PAM atau PDAM,Tidak,Butuh Renovasi,"Jl. Rungkut Raya No.12, Surabaya (-7.326071, 112.774398)",Keduanya,Baik,1032000.0,Tinggi
Rungkut,3,3,200,200,SHM - Sertifikat Hak Milik,2200.0,Ya,Ya,Unfurnished,1.0,,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus,"Jl. Rungkut Raya No.175, Surabaya (-7.334139, 112.650132)",Disewa,Baik,1032000.0,Tinggi
Rungkut,2,2,200,110,SHM - Sertifikat Hak Milik,2200.0,Ya,Ya,Unfurnished,1.0,Utara,Ya,,PAM atau PDAM,Tidak,Butuh Renovasi,"Jl. Rungkut Raya No.18, Surabaya (-7.315292, 112.771636)",Dijual,Baik,1032000.0,Rendah
Rungkut,2,2,200,110,SHM - Sertifikat Hak Milik,2200.0,Tidak,Tidak,Unfurnished,1.0,Utara,Tidak,3 Mobil,PAM atau PDAM,Tidak,Butuh Renovasi,"Jl. Rungkut Raya No.149, Surabaya (-7.285673, 112.699528)",Keduanya,Baik,1032000.0,Rendah
Rungkut,2,2,200,200,SHM - Sertifikat Hak Milik,2200.0,Tidak,Tidak,Unfurnished,1.0,,Tidak,,PAM atau PDAM,Tidak,Butuh Renovasi,"Jl. Rungkut Raya No.141, Surabaya (-7.219425, 112.718986)",Keduanya,Buruk,1032000.0,Tinggi
Rungkut,3,3,200,200,SHM - Sertifikat Hak Milik,2200.0,Tidak,Tidak,Unfurnished,1.0,,Tidak,,,Tidak,Bagus,"Jl. Rungkut Raya No.149, Surabaya (-7.321103, 112.76812)",Dijual,Baik,1032000.0,Tinggi
Rungkut,4,2,200,170,SHM - Sertifikat Hak Milik,1300.0,,Tidak,Unfurnished,1.0,Timur,Tidak,,PAM atau PDAM,Tidak,Bagus,"Jl. Rungkut Raya No.126, Surabaya (-7.203774, 112.605917)",Keduanya,Baik,1032000.0,Rendah
Rungkut,3,2,200,155,SHM - Sertifikat Hak Milik,2200.0,Ya,Ya,Unfurnished,2.0,Utara,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus,"Jl. Rungkut Raya No.136, Surabaya (-7.248194, 112.672589)",Keduanya,Baik,1032000.0,Tinggi
Sawahan,4,2,200,200,SHM - Sertifikat Hak Milik,5500.0,Tidak,Tidak,Unfurnished,1.0,Utara,Tidak,,PAM atau PDAM,Tidak,Bagus,"Jl. Sawahan Raya No.46, Surabaya (-7.297704, 112.763139)",Keduanya,Baik,1032000.0,Rendah
Tambaksari,3,2,200,150,SHM - Sertifikat Hak Milik,3500.0,Ya,Ya,Unfurnished,1.0,Barat,Ya,2 Mobil,PAM atau PDAM,Tidak,Sudah Renovasi,"Jl. Tambaksari Raya No.104, Surabaya (-7.271195, 112.762791)",Disewa,Baik,1032000.0,Tinggi
Tambaksari,3,2,200,150,SHM - Sertifikat Hak Milik,3500.0,Ya,Ya,Unfurnished,1.0,Barat,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus,"Jl. Tambaksari Raya No.135, Surabaya (-7.379555, 112.769738)",Keduanya,Baik,1032000.0,Tinggi
Tambaksari,3,1,200,150,SHM - Sertifikat Hak Milik,3500.0,,Ya,Unfurnished,1.0,,Tidak,,,Tidak,Bagus,"Jl. Tambaksari Raya No.151, Surabaya (-7.231096, 112.633843)",Dijual,Baik,1032000.0,Tinggi
Tambaksari,3,2,200,200,SHM - Sertifikat Hak Milik,3500.0,,Ya,Unfurnished,1.0,Barat,Ya,2 Mobil,PAM atau PDAM,Tidak,Baru,"Jl. Tambaksari Raya No.86, Surabaya (-7.283529, 112.741177)",Dijual,Baik,1032000.0,Tinggi
Tenggilis mejoyo,2,1,200,200,HGB - Hak Guna Bangunan,,Tidak,Tidak,Unfurnished,1.0,,Tidak,,,Tidak,Butuh Renovasi,"Jl. Tenggilis Mejoyo Raya No.150, Surabaya (-7.202787, 112.629301)",Dijual,Buruk,1000000.0,Tinggi
Tenggilis mejoyo,4,3,200,70,SHM - Sertifikat Hak Milik,4400.0,Tidak,Tidak,Unfurnished,1.0,Utara,Tidak,4 Mobil,PAM atau PDAM,Tidak,,"Jl. Tenggilis Mejoyo Raya No.89, Surabaya (-7.272714, 112.75702)",Keduanya,Baik,1000000.0,Tinggi
Tenggilis mejoyo,3,2,200,135,SHM - Sertifikat Hak Milik,2200.0,,Tidak,Unfurnished,1.0,Utara,Tidak,,PAM atau PDAM,Tidak,Bagus,"Jl. Tenggilis Mejoyo Raya No.22, Surabaya (-7.233178, 112.649025)",Disewa,Buruk,1000000.0,Tinggi
Wonocolo,5,4,204,144,SHM - Sertifikat Hak Milik,2200.0,Tidak,Tidak,Unfurnished,2.0,Selatan,Tidak,3 Mobil,PAM atau PDAM,Tidak,,"Jl. Wonocolo Raya No.92, Surabaya (-7.240047, 112.747564)",Keduanya,Baik,1000000.0,Tinggi
Wiyung,3,2,209,165,SHM - Sertifikat Hak Milik,2200.0,,,Unfurnished,1.0,Barat,,,,,Bagus,"Jl. Wiyung Raya No.29, Surabaya (-7.330908, 112.691)",Dijual,Buruk,1000000.0,Tinggi
Kenjeran,2,1,210,100,SHM - Sertifikat Hak Milik,2200.0,Tidak,Tidak,Unfurnished,1.0,Utara,Ya,4 Mobil,PAM atau PDAM,Tidak,Butuh Renovasi,"Jl. Kenjeran Raya No.13, Surabaya (-7.348078, 112.797253)",Disewa,Baik,1032000.0,Tinggi
Wiyung,3,1,217,120,HGB - Hak Guna Bangunan,2200.0,Tidak,Tidak,Unfurnished,1.0,Selatan,Tidak,,,Tidak,Butuh Renovasi,"Jl. Wiyung Raya No.2, Surabaya (-7.313901, 112.715979)",Disewa,Baik,1000000.0,Tinggi
Asemrowo,3,2,222,200,SHM - Sertifikat Hak Milik,2200.0,,,Unfurnished,1.0,Selatan,,,,,Butuh Renovasi,"Jl. Asemrowo Raya No.29, Surabaya (-7.306552, 112.726516)",Keduanya,Baik,1000000.0,Tinggi
Kenjeran,3,1,227,180,SHM - Sertifikat Hak Milik,2200.0,Tidak,Tidak,Unfurnished,1.0,,Tidak,,PAM atau PDAM,Tidak,Butuh Renovasi,"Jl. Kenjeran Raya No.180, Surabaya (-7.351983, 112.673633)",Dijual,Baik,1032000.0,Tinggi
Sukolilo,4,3,240,272,SHM - Sertifikat Hak Milik,2200.0,,Ya,Unfurnished,2.0,Selatan,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus,"Jl. Sukolilo Raya No.27, Surabaya (-7.22108, 112.746904)",Keduanya,Baik,1000000.0,Tinggi
Wiyung,5,3,240,300,SHM - Sertifikat Hak Milik,4400.0,,Ya,Unfurnished,2.0,Selatan,Ya,3 Mobil,PAM atau PDAM,Tidak,Bagus,"Jl. Wiyung Raya No.50, Surabaya (-7.29149, 112.698977)",Dijual,Baik,1000000.0,Tinggi
Wiyung,3,2,240,180,HGB - Hak Guna Bangunan,,Tidak,Tidak,Unfurnished,1.0,Utara,Tidak,,,Tidak,Bagus Sekali,"Jl. Wiyung Raya No.95, Surabaya (-7.204311, 112.603613)",Disewa,Baik,1000000.0,Tinggi
Wiyung,4,3,246,180,SHM - Sertifikat Hak Milik,2200.0,,Ya,Unfurnished,2.0,Utara,Ya,4 Mobil,PAM atau PDAM,Tidak,Bagus,"Jl. Wiyung Raya No.151, Surabaya (-7.237996, 112.721716)",Keduanya,Baik,1000000.0,Rendah
Kenjeran,5,3,250,350,SHM - Sertifikat Hak Milik,4400.0,,Tidak,Unfurnished,2.0,Utara,Tidak,2 Mobil,PAM atau PDAM,Tidak,Butuh Renovasi,"Jl. Kenjeran Raya No.88, Surabaya (-7.288859, 112.766092)",Disewa,Baik,1032000.0,Tinggi
Kenjeran,5,3,250,350,SHM - Sertifikat Hak Milik,4400.0,,Ya,Unfurnished,2.0,Utara,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus,"Jl. Kenjeran Raya No.44, Surabaya (-7.210592, 112.64736)",Dijual,Baik,1032000.0,Tinggi
Tambaksari,5,3,250,350,SHM - Sertifikat Hak Milik,4400.0,Tidak,Tidak,Unfurnished,1.0,,Tidak,,PAM atau PDAM,Tidak,Bagus,"Jl. Tambaksari Raya No.22, Surabaya (-7.299025, 112.644213)",Disewa,Baik,1032000.0,Tinggi
Tambaksari,5,3,250,350,SHM - Sertifikat Hak Milik,4400.0,Ya,Ya,Unfurnished,2.0,Utara,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus,"Jl. Tambaksari Raya No.171, Surabaya (-7.222579, 112.721777)",Disewa,Baik,1032000.0,Tinggi
Tambaksari,5,3,250,350,SHM - Sertifikat Hak Milik,4400.0,Tidak,Tidak,Unfurnished,1.0,Utara,Tidak,,PAM atau PDAM,Tidak,Bagus,"Jl. Tambaksari Raya No.165, Surabaya (-7.328371, 112.763596)",Disewa,Baik,1032000.0,Tinggi
Tambaksari,5,3,250,350,SHM - Sertifikat Hak Milik,4400.0,,Tidak,Unfurnished,1.0,,Tidak,,PAM atau PDAM,Tidak,Bagus,"Jl. Tambaksari Raya No.189, Surabaya (-7.324272, 112.649924)",Keduanya,Baik,1032000.0,Rendah
Tambaksari,3,2,250,200,SHM - Sertifikat Hak Milik,2200.0,,Ya,Unfurnished,1.0,,Ya,2 Mobil,PAM atau PDAM,Tidak,Butuh Renovasi,"Jl. Tambaksari Raya No.97, Surabaya (-7.316374, 112.786453)",Dijual,Baik,1032000.0,Tinggi
Gayungan,4,2,291,180,SHM - Sertifikat Hak Milik,1300.0,,Tidak,Unfurnished,1.0,Selatan,Tidak,,PAM atau PDAM,Tidak,Bagus,"Jl. Gayungan Raya No.184, Surabaya (-7.290675, 112.785477)",Disewa,Buruk,1032000.0,Tinggi
Wiyung,4,4,427,500,SHM - Sertifikat Hak Milik,6600.0,,,Unfurnished,2.0,,,,,,Bagus,"Jl. Wiyung Raya No.3, Surabaya (-7.289302, 112.640107)",Disewa,Baik,1000000.0,Rendah
Rungkut,3,3,70,100,SHM - Sertifikat Hak Milik,2200.0,Ya,Ya,Unfurnished,2.0,Timur,Ya,2 Mobil,PAM atau PDAM,Tidak,Baru,"Jl. Rungkut Raya No.191, Surabaya (-7.30072, 112.652757)",Disewa,Baik,1032000.0,Tinggi
Rungkut,3,3,100,145,SHM - Sertifikat Hak Milik,2200.0,Ya,Ya,Unfurnished,2.0,Selatan,Ya,3 Mobil,PAM atau PDAM,Tidak,Baru,"Jl. Rungkut Raya No.118, Surabaya (-7.3388, 112.74012)",Disewa,Baik,1032000.0,Tinggi
Rungkut,3,3,100,145,SHM - Sertifikat Hak Milik,2200.0,Ya,Ya,Unfurnished,2.0,Selatan,Ya,2 Mobil,PAM atau PDAM,Tidak,Baru,"Jl. Rungkut Raya No.19, Surabaya (-7.214559, 112.790347)",Dijual,Baik,1032000.0,Tinggi
Rungkut,4,4,100,145,SHM - Sertifikat Hak Milik,4400.0,Ya,Ya,Unfurnished,2.0,Utara,Ya,3 Mobil,PAM atau PDAM,Tidak,Baru,"Jl. Rungkut Raya No.23, Surabaya (-7.282283, 112.741977)",Dijual,Buruk,1032000.0,Tinggi
Rungkut,3,3,100,145,SHM - Sertifikat Hak Milik,1300.0,Ya,Ya,Unfurnished,2.0,Selatan,Ya,3 Mobil,PAM atau PDAM,Tidak,Baru,"Jl. Rungkut Raya No.157, Surabaya (-7.318452, 112.68898)",Keduanya,Buruk,1032000.0,Tinggi
Rungkut,3,3,100,145,SHM - Sertifikat Hak Milik,,Tidak,Tidak,Unfurnished,2.0,,Tidak,,,Tidak,Baru,"Jl. Rungkut Raya No.30, Surabaya (-7.269765, 112.6338)",Dijual,Baik,1032000.0,Tinggi
Rungkut,3,3,100,145,SHM - Sertifikat Hak Milik,2200.0,Ya,Ya,Unfurnished,2.0,Selatan,Ya,2 Mobil,PAM atau PDAM,Tidak,Baru,"Jl. Rungkut Raya No.39, Surabaya (-7.246407, 112.692202)",Dijual,Baik,1032000.0,Tinggi
Rungkut,3,3,100,145,SHM - Sertifikat Hak Milik,2200.0,Ya,Ya,Unfurnished,2.0,Selatan,Ya,3 Mobil,PAM atau PDAM,Tidak,Baru,"Jl. Rungkut Raya No.108, Surabaya (-7.207854, 112.721354)",Disewa,Baik,1032000.0,Tinggi
Rungkut,3,3,100,145,SHM - Sertifikat Hak Milik,2200.0,Tidak,Tidak,Unfurnished,1.0,,Tidak,,PAM atau PDAM,Tidak,Baru,"Jl. Rungkut Raya No.111, Surabaya (-7.30009, 112.66619)",Keduanya,Baik,1032000.0,Rendah
Rungkut,3,3,100,145,SHM - Sertifikat Hak Milik,2200.0,Ya,Ya,Unfurnished,2.0,Selatan,Ya,2 Mobil,PAM atau PDAM,Tidak,Baru,"Jl. Rungkut Raya No.25, Surabaya (-7.37758, 112.702052)",Keduanya,Baik,1032000.0,Tinggi
Rungkut,3,3,100,145,SHM - Sertifikat Hak Milik,2200.0,Tidak,Tidak,Unfurnished,2.0,,Tidak,,PAM atau PDAM,Tidak,Baru,"Jl. Rungkut Raya No.128, Surabaya (-7.311847, 112.626043)",Disewa,Baik,1032000.0,Tinggi
Rungkut,3,3,100,145,SHM - Sertifikat Hak Milik,2200.0,Ya,Ya,Unfurnished,2.0,Selatan,Ya,3 Mobil,PAM atau PDAM,Tidak,Baru,"Jl. Rungkut Raya No.111, Surabaya (-7.304206, 112.690438)",Keduanya,Baik,1032000.0,Tinggi
Rungkut,3,3,100,145,SHM - Sertifikat Hak Milik,2200.0,Tidak,Tidak,Unfurnished,2.0,Selatan,Ya,3 Mobil,PAM atau PDAM,Tidak,Baru,"Jl. Rungkut Raya No.136, Surabaya (-7.220601, 112.618155)",Dijual,Baik,1032000.0,Tinggi
Rungkut,3,3,100,145,SHM - Sertifikat Hak Milik,2200.0,Ya,Ya,Unfurnished,2.0,Selatan,Ya,,,Tidak,Bagus,"Jl. Rungkut Raya No.106, Surabaya (-7.32104, 112.609818)",Keduanya,Baik,1032000.0,Tinggi
Rungkut,3,3,100,145,SHM - Sertifikat Hak Milik,3500.0,Tidak,Tidak,Unfurnished,2.0,Selatan,Ya,2 Mobil,PAM atau PDAM,Tidak,Baru,"Jl. Rungkut Raya No.186, Surabaya (-7.209335, 112.771448)",Disewa,Baik,1032000.0,Tinggi
Rungkut,3,3,100,145,SHM - Sertifikat Hak Milik,1300.0,Ya,Ya,Unfurnished,2.0,Selatan,Ya,2 Mobil,PAM atau PDAM,Tidak,Baru,"Jl. Rungkut Raya No.144, Surabaya (-7.302974, 112.641016)",Keduanya,Baik,1032000.0,Tinggi
Rungkut,3,3,100,145,SHM - Sertifikat Hak Milik,1300.0,Ya,Ya,Unfurnished,2.0,Selatan,Ya,3 Mobil,PAM atau PDAM,Tidak,Baru,"Jl. Rungkut Raya No.72, Surabaya (-7.205244, 112.715031)",Keduanya,Buruk,1032000.0,Tinggi
Rungkut,3,3,100,145,SHM - Sertifikat Hak Milik,2200.0,Tidak,Tidak,Unfurnished,2.0,Selatan,Ya,3 Mobil,PAM atau PDAM,Tidak,Baru,"Jl. Rungkut Raya No.129, Surabaya (-7.39836, 112.629797)",Keduanya,Baik,1032000.0,Tinggi
Rungkut,3,3,100,145,SHM - Sertifikat Hak Milik,2200.0,Ya,Ya,Unfurnished,1.0,Selatan,Ya,2 Mobil,PAM atau PDAM,Tidak,Baru,"Jl. Rungkut Raya No.108, Surabaya (-7.220237, 112.652506)",Disewa,Baik,1032000.0,Rendah
Rungkut,3,3,100,100,SHM - Sertifikat Hak Milik,3500.0,Ya,Ya,Unfurnished,2.0,Timur,Ya,3 Mobil,PAM atau PDAM,Tidak,Baru,"Jl. Rungkut Raya No.5, Surabaya (-7.213776, 112.672268)",Dijual,Buruk,1032000.0,Tinggi
Rungkut,3,3,100,145,SHM - Sertifikat Hak Milik,2200.0,,Ya,Unfurnished,2.0,Selatan,Ya,,PAM atau PDAM,Tidak,Bagus,"Jl. Rungkut Raya No.3, Surabaya (-7.207796, 112.628735)",Keduanya,Buruk,1032000.0,Tinggi
Rungkut,4,4,100,145,SHM - Sertifikat Hak Milik,2200.0,Tidak,Tidak,Unfurnished,2.0,Selatan,Tidak,3 Mobil,,Tidak,Baru,"Jl. Rungkut Raya No.193, Surabaya (-7.397385, 112.609192)",Dijual,Baik,1032000.0,Tinggi
Mulyorejo,3,2,120,138,HGB - Hak Guna Bangunan,,Tidak,Tidak,Unfurnished,2.0,,Tidak,,,Tidak,Bagus,"Jl. Mulyorejo Raya No.132, Surabaya (-7.36566, 112.775432)",Dijual,Baik,1000000.0,Tinggi
Mulyorejo,3,2,120,138,HGB - Hak Guna Bangunan,,Tidak,Tidak,Unfurnished,2.0,,Tidak,,,Tidak,Bagus,"Jl. Mulyorejo Raya No.104, Surabaya (-7.269247, 112.602367)",Dijual,Baik,1000000.0,Tinggi
Mulyorejo,3,2,120,138,HGB - Hak Guna Bangunan,,Tidak,Tidak,Unfurnished,2.0,,Tidak,,,Tidak,Bagus,"Jl. Mulyorejo Raya No.64, Surabaya (-7.394905, 112.612264)",Keduanya,Baik,1000000.0,Tinggi
Mulyorejo,3,2,120,138,HGB - Hak Guna Bangunan,,Tidak,Tidak,Unfurnished,2.0,,Tidak,,,Tidak,Bagus,"Jl. Mulyorejo Raya No.106, Surabaya (-7.387278, 112.761014)",Dijual,Baik,1000000.0,Rendah
Wiyung,3,3,120,148,"Lainnya (PPJB,Girik,Adat,dll)",2200.0,,,Unfurnished,1.0,Utara,,,,,Baru,"Jl. Wiyung Raya No.98, Surabaya (-7.355784, 112.656402)",Keduanya,Buruk,1000000.0,Tinggi
Wiyung,4,2,140,140,SHM - Sertifikat Hak Milik,2200.0,,Tidak,Unfurnished,1.0,,Tidak,,,Tidak,Bagus,"Jl. Wiyung Raya No.10, Surabaya (-7.297512, 112.744564)",Keduanya,Baik,1000000.0,Tinggi
Rungkut,3,3,145,100,SHM - Sertifikat Hak Milik,2200.0,Tidak,Tidak,Unfurnished,2.0,Selatan,Ya,3 Mobil,PAM atau PDAM,Tidak,Baru,"Jl. Rungkut Raya No.149, Surabaya (-7.290819, 112.629245)",Keduanya,Baik,1032000.0,Rendah
Sukolilo,4,2,150,100,SHM - Sertifikat Hak Milik,2200.0,,Tidak,Unfurnished,1.0,,Tidak,,,Tidak,Bagus,"Jl. Sukolilo Raya No.128, Surabaya (-7.393148, 112.647456)",Dijual,Baik,1000000.0,Rendah
Rungkut,4,4,200,145,SHM - Sertifikat Hak Milik,,Ya,Ya,Unfurnished,2.0,Selatan,Ya,3 Mobil,PAM atau PDAM,Tidak,Bagus,"Jl. Rungkut Raya No.46, Surabaya (-7.365927, 112.714555)",Keduanya,Baik,1032000.0,Tinggi
Kenjeran,3,2,50,70,SHM - Sertifikat Hak Milik,2200.0,Ya,Ya,Unfurnished,2.0,Utara,Ya,3 Mobil,PAM atau PDAM,Tidak,Baru,"Jl. Kenjeran Raya No.155, Surabaya (-7.300059, 112.797727)",Disewa,Baik,1032000.0,Tinggi
Wiyung,3,2,66,80,HGB - Hak Guna Bangunan,2200.0,,Tidak,Unfurnished,2.0,Selatan,Tidak,,PAM atau PDAM,Tidak,Baru,"Jl. Wiyung Raya No.66, Surabaya (-7.281212, 112.614689)",Disewa,Baik,1000000.0,Tinggi
Tandes,2,2,72,70,HGB - Hak Guna Bangunan,,Tidak,Tidak,Unfurnished,2.0,Selatan,Tidak,,PAM atau PDAM,Tidak,Bagus,"Jl. Tandes Raya No.169, Surabaya (-7.37032, 112.680111)",Disewa,Baik,1000000.0,Tinggi
Tenggilis mejoyo,3,3,75,115,SHM - Sertifikat Hak Milik,2200.0,Ya,Ya,Unfurnished,2.0,Utara,Ya,,PAM atau PDAM,Tidak,Baru,"Jl. Tenggilis Mejoyo Raya No.112, Surabaya (-7.320232, 112.608616)",Keduanya,Baik,1000000.0,Tinggi
Tenggilis mejoyo,3,3,75,115,SHM - Sertifikat Hak Milik,2200.0,Ya,Ya,Unfurnished,2.0,Utara,Ya,,PAM atau PDAM,Tidak,Baru,"Jl. Tenggilis Mejoyo Raya No.13, Surabaya (-7.21912, 112.639845)",Disewa,Baik,1000000.0,Tinggi
Tenggilis mejoyo,3,3,75,115,SHM - Sertifikat Hak Milik,2200.0,Tidak,Tidak,Unfurnished,2.0,,Tidak,,PAM atau PDAM,Tidak,Baru,"Jl. Tenggilis Mejoyo Raya No.137, Surabaya (-7.20022, 112.781494)",Keduanya,Baik,1000000.0,Rendah
Tenggilis mejoyo,3,3,75,115,SHM - Sertifikat Hak Milik,2200.0,Ya,Ya,Unfurnished,2.0,Utara,Ya,4 Mobil,PAM atau PDAM,Tidak,Baru,"Jl. Tenggilis Mejoyo Raya No.164, Surabaya (-7.202557, 112.619292)",Keduanya,Buruk,1000000.0,Tinggi
Tenggilis mejoyo,3,3,75,115,SHM - Sertifikat Hak Milik,2200.0,Ya,Ya,Unfurnished,2.0,Utara,Ya,,PAM atau PDAM,Tidak,Baru,"Jl. Tenggilis Mejoyo Raya No.86, Surabaya (-7.223665, 112.771371)",Keduanya,Baik,1000000.0,Rendah
Tenggilis mejoyo,3,3,75,115,SHM - Sertifikat Hak Milik,,Ya,Ya,Unfurnished,1.0,Utara,Ya,4 Mobil,,Tidak,Bagus,"Jl. Tenggilis Mejoyo Raya No.90, Surabaya (-7.321068, 112.635561)",Dijual,Buruk,1000000.0,Rendah
Tenggilis mejoyo,3,3,75,115,SHM - Sertifikat Hak Milik,,,Ya,Unfurnished,2.0,Utara,Ya,4 Mobil,PAM atau PDAM,Tidak,Bagus,"Jl. Tenggilis Mejoyo Raya No.58, Surabaya (-7.262685, 112.772357)",Disewa,Baik,1000000.0,Tinggi
Tenggilis mejoyo,3,3,75,115,SHM - Sertifikat Hak Milik,2200.0,Ya,Ya,Unfurnished,2.0,Utara,Ya,2 Mobil,PAM atau PDAM,Tidak,Baru,"Jl. Tenggilis Mejoyo Raya No.54, Surabaya (-7.316682, 112.707604)",Keduanya,Baik,1000000.0,Tinggi
Rungkut,3,2,78,140,SHM - Sertifikat Hak Milik,,Tidak,Tidak,Unfurnished,2.0,,Tidak,,PAM atau PDAM,Tidak,Baru,"Jl. Rungkut Raya No.12, Surabaya (-7.270295, 112.775641)",Disewa,Baik,1032000.0,Tinggi
Lakarsantri,4,3,81,163,HGB - Hak Guna Bangunan,3500.0,,Ya,Unfurnished,1.0,Utara,Ya,3 Mobil,PAM atau PDAM,Tidak,Baru,"Jl. Lakarsantri Raya No.14, Surabaya (-7.338114, 112.630341)",Disewa,Baik,1000000.0,Tinggi
Dukuh pakis,3,3,84,148,SHM - Sertifikat Hak Milik,1300.0,Ya,Tidak,Unfurnished,2.0,,Tidak,,PAM atau PDAM,Tidak,Bagus,"Jl. Dukuh Pakis Raya No.121, Surabaya (-7.27876, 112.752407)",Dijual,Buruk,1000000.0,Tinggi
Wiyung,3,3,84,110,SHM - Sertifikat Hak Milik,2200.0,Tidak,Tidak,Unfurnished,2.0,,Tidak,,PAM atau PDAM,Tidak,Baru,"Jl. Wiyung Raya No.162, Surabaya (-7.295248, 112.73614)",Disewa,Buruk,1000000.0,Tinggi
Wiyung,3,3,84,110,SHM - Sertifikat Hak Milik,1300.0,Tidak,Tidak,Unfurnished,2.0,,Tidak,,PAM atau PDAM,Tidak,Baru,"Jl. Wiyung Raya No.181, Surabaya (-7.395104, 112.708587)",Keduanya,Baik,1000000.0,Tinggi
