Nama_Aset,Lokasi,Luas_m2,Sertifikat,Lokasi_Pasti,Kondisi,Tipe_Iklan,NJOP_Rp_per_m2,Jumlah_Penduduk,Aksesibilitas
Karang Pilang,"Jl. Indragiri, Karang Pilang, Surabaya",1275,HGB,"Jl. Indragiri, Karang Pilang, Surabaya (-7.292371, 112.748079)",Second,Dijual,862000.0,,Baik
Krembangan,"Gg. Kiaracondong, Krembangan, Surabaya",1699,Girik,"Gg. Kiaracondong, Krembangan, Surabaya (-7.289328, 112.799202)",Second,Disewa/Dijual,,109027.0,Baik
Gubeng,"Gg. Cempaka, Gubeng, Surabaya",819,SHM,"Gg. Cempaka, Gubeng, Surabaya (-7.307587, 112.768665)",Second,Disewa/Dijual,1147000.0,123961.0,Baik
Tandes,"Gang Waringin, Tandes, Surabaya",1674,Belum Bersertifikat,"Gang Waringin, Tandes, Surabaya (-7.276356, 112.784136)",Second,Disewa/Dijual,,87511.0,Baik
Semampir,"Gg. Ahmad Yani, Semampir, Surabaya",1273,Girik,"Gg. Ahmad Yani, Semampir, Surabaya (-7.256563, 112.741485)",Second,Dijual,,172669.0,Buruk
Sukolilo,"Jl. Suryakencana, Sukolilo, Surabaya",1680,HGB,"Jl. Suryakencana, Sukolilo, Surabaya (-7.257443, 112.776786)",Second,Disewa,,110557.0,Buruk
Tegalsari,"Gg. Jakarta, Tegalsari, Surabaya",716,Belum Bersertifikat,"Gg. Jakarta, Tegalsari, Surabaya (-7.304916, 112.704051)",Second,Disewa/Dijual,,92014.0,Baik
Wonokromo,"Jl. Pacuan Kuda, Wonokromo, Surabaya",755,HGB,"Jl. Pacuan Kuda, Wonokromo, Surabaya (-7.338676, 112.712291)",Second,Dijual,,144650.0,Baik
Lakarsantri,"Gg. Setiabudhi, Lakarsantri, Surabaya",1110,SHM,"Gg. Setiabudhi, Lakarsantri, Surabaya (-7.251516, 112.720307)",Second,Disewa,,59256.0,Buruk
Tambaksari,"Jl. Kebonjati, Tambaksari, Surabaya",918,Belum Bersertifikat,"Jl. Kebonjati, Tambaksari, Surabaya (-7.266110, 112.740195)",Second,Dijual,,214966.0,Buruk
Benowo,"Gang KH Amin Jasuta, Benowo, Surabaya",1218,HGB,"Gang KH Amin Jasuta, Benowo, Surabaya (-7.337534, 112.784574)",Second,Dijual,,69938.0,Baik
Wonokromo,"Jl. Rajawali Barat, Wonokromo, Surabaya",1625,Girik,"Jl. Rajawali Barat, Wonokromo, Surabaya (-7.257916, 112.734627)",Second,Dijual,,144650.0,Buruk
Pakal,"Gg. Pacuan Kuda, Pakal, Surabaya",1806,Girik,"Gg. Pacuan Kuda, Pakal, Surabaya (-7.263010, 112.765462)",Second,Disewa,,59971.0,Buruk
Pakal,"Gang K.H. Wahid Hasyim, Pakal, Surabaya",857,SHM,"Gang K.H. Wahid Hasyim, Pakal, Surabaya (-7.298116, 112.770931)",Second,Dijual,,59971.0,Baik
Sukolilo,"Jl. Setiabudhi, Sukolilo, Surabaya",1074,SHM,"Jl. Setiabudhi, Sukolilo, Surabaya (-7.290872, 112.758618)",Second,Disewa,,110557.0,Baik
Wonokromo,"Gg. Peta, Wonokromo, Surabaya",1836,HGB,"Gg. Peta, Wonokromo, Surabaya (-7.310100, 112.735724)",Second,Disewa/Dijual,,144650.0,Baik
Tandes,"Jalan Medokan Ayu, Tandes, Surabaya",930,HGB,"Jalan Medokan Ayu, Tandes, Surabaya (-7.344524, 112.757705)",Second,Disewa,,87511.0,Baik
Tegalsari,"Jl. Kiaracondong, Tegalsari, Surabaya",1358,SHM,"Jl. Kiaracondong, Tegalsari, Surabaya (-7.316480, 112.734227)",Second,Dijual,,92014.0,Baik
Sambikerep,"Gang Indragiri, Sambikerep, Surabaya",1219,SHM,"Gang Indragiri, Sambikerep, Surabaya (-7.269715, 112.708387)",Second,Disewa,,63778.0,Buruk
Tambaksari,"Gg. Ir. H. Djuanda, Tambaksari, Surabaya",1330,Belum Bersertifikat,"Gg. Ir. H. Djuanda, Tambaksari, Surabaya (-7.349537, 112.799280)",Second,Dijual,,214966.0,Baik
Asemrowo,"Jl. Monginsidi, Asemrowo, Surabaya",1205,HGB,"Jl. Monginsidi, Asemrowo, Surabaya (-7.316650, 112.712718)",Second,Disewa/Dijual,916000.0,45547.0,Baik
Gubeng,"Jl. Raya Setiabudhi, Gubeng, Surabaya",1599,SHM,"Jl. Raya Setiabudhi, Gubeng, Surabaya (-7.310183, 112.707235)",Second,Disewa,1147000.0,123961.0,Baik
Tandes,"Jalan M.H Thamrin, Tandes, Surabaya",1959,SHM,"Jalan M.H Thamrin, Tandes, Surabaya (-7.296260, 112.787853)",Second,Disewa/Dijual,,87511.0,Baik
Rungkut,"Gang Sadang Serang, Rungkut, Surabaya",1747,SHM,"Gang Sadang Serang, Rungkut, Surabaya (-7.258014, 112.730183)",Second,Disewa,,123757.0,Buruk
Rungkut,"Gang Rajawali Timur, Rungkut, Surabaya",1643,Belum Bersertifikat,"Gang Rajawali Timur, Rungkut, Surabaya (-7.315365, 112.765030)",Second,Dijual,,123757.0,Baik
Tandes,"Jl. Jend. Sudirman, Tandes, Surabaya",1560,Girik,"Jl. Jend. Sudirman, Tandes, Surabaya (-7.315305, 112.732901)",Second,Disewa,,87511.0,Baik
Krembangan,"Jl. Sukabumi, Krembangan, Surabaya",821,HGB,"Jl. Sukabumi, Krembangan, Surabaya (-7.276250, 112.739145)",Second,Disewa/Dijual,,109027.0,Baik
Pakal,"Jalan Sukajadi, Pakal, Surabaya",1747,SHM,"Jalan Sukajadi, Pakal, Surabaya (-7.304778, 112.726211)",Second,Disewa,,59971.0,Baik
Lakarsantri,"Jalan Rajiman, Lakarsantri, Surabaya",1124,Belum Bersertifikat,"Jalan Rajiman, Lakarsantri, Surabaya (-7.327540, 112.734304)",Second,Disewa/Dijual,,59256.0,Baik
Kenjeran,"Jl. Ahmad Dahlan, Kenjeran, Surabaya",1460,HGB,"Jl. Ahmad Dahlan, Kenjeran, Surabaya (-7.304756, 112.741070)",Second,Disewa/Dijual,,181325.0,Baik
Sawahan,"Jl. Rajiman, Sawahan, Surabaya",927,Belum Bersertifikat,"Jl. Rajiman, Sawahan, Surabaya (-7.335914, 112.772042)",Second,Dijual,1032000.0,188693.0,Baik
Kenjeran,"Gg. Kebonjati, Kenjeran, Surabaya",962,Girik,"Gg. Kebonjati, Kenjeran, Surabaya (-7.332361, 112.751154)",Second,Disewa,,181325.0,Baik
Sukolilo,"Gang Merdeka, Sukolilo, Surabaya",1959,HGB,"Gang Merdeka, Sukolilo, Surabaya (-7.300163, 112.794357)",Second,Disewa/Dijual,,110557.0,Baik
Gubeng,"Gg. H.J Maemunah, Gubeng, Surabaya",1337,Belum Bersertifikat,"Gg. H.J Maemunah, Gubeng, Surabaya (-7.308107, 112.704188)",Second,Dijual,1147000.0,123961.0,Baik
Rungkut,"Gang Rungkut Industri, Rungkut, Surabaya",990,HGB,"Gang Rungkut Industri, Rungkut, Surabaya (-7.258515, 112.750307)",Second,Dijual,,123757.0,Buruk
Pakal,"Jalan Lembong, Pakal, Surabaya",1422,Belum Bersertifikat,"Jalan Lembong, Pakal, Surabaya (-7.313761, 112.758422)",Second,Dijual,,59971.0,Baik
Gubeng,"Gang Astana Anyar, Gubeng, Surabaya",900,Belum Bersertifikat,"Gang Astana Anyar, Gubeng, Surabaya (-7.291941, 112.792020)",Second,Disewa/Dijual,1147000.0,123961.0,Baik
Semampir,"Gg. Pelajar Pejuang, Semampir, Surabaya",1060,HGB,"Gg. Pelajar Pejuang, Semampir, Surabaya (-7.286774, 112.704916)",Second,Disewa,,172669.0,Baik
Gubeng,"Gg. Rumah Sakit, Gubeng, Surabaya",717,SHM,"Gg. Rumah Sakit, Gubeng, Surabaya (-7.348691, 112.757350)",Second,Disewa/Dijual,1147000.0,123961.0,Baik
Pakal,"Jalan Medokan Ayu, Pakal, Surabaya",709,Belum Bersertifikat,"Jalan Medokan Ayu, Pakal, Surabaya (-7.283646, 112.785363)",Second,Dijual,,59971.0,Baik
Sukolilo,"Gg. Pelajar Pejuang, Sukolilo, Surabaya",701,Belum Bersertifikat,"Gg. Pelajar Pejuang, Sukolilo, Surabaya (-7.332196, 112.724193)",Second,Disewa/Dijual,,110557.0,Baik
Krembangan,"Jl. Ahmad Dahlan, Krembangan, Surabaya",1046,Girik,"Jl. Ahmad Dahlan, Krembangan, Surabaya (-7.253893, 112.787629)",Second,Disewa/Dijual,,109027.0,Buruk
Wonokromo,"Gg. Sukabumi, Wonokromo, Surabaya",898,HGB,"Gg. Sukabumi, Wonokromo, Surabaya (-7.335134, 112.701904)",Second,Dijual,,144650.0,Baik
Sambikerep,"Jl. Kutisari Selatan, Sambikerep, Surabaya",1769,HGB,"Jl. Kutisari Selatan, Sambikerep, Surabaya (-7.308538, 112.773245)",Second,Disewa,,63778.0,Baik
Kenjeran,"Gg. Jayawijaya, Kenjeran, Surabaya",1704,HGB,"Gg. Jayawijaya, Kenjeran, Surabaya (-7.341465, 112.793311)",Second,Dijual,,181325.0,Baik
Lakarsantri,"Jalan Pasteur, Lakarsantri, Surabaya",912,Girik,"Jalan Pasteur, Lakarsantri, Surabaya (-7.250313, 112.765720)",Second,Dijual,,59256.0,Buruk
Pakal,"Jl. Gardujati, Pakal, Surabaya",1436,Belum Bersertifikat,"Jl. Gardujati, Pakal, Surabaya (-7.299780, 112.743903)",Second,Disewa/Dijual,,59971.0,Baik
Semampir,"Gg. Kutisari Selatan, Semampir, Surabaya",1966,SHM,"Gg. Kutisari Selatan, Semampir, Surabaya (-7.290461, 112.704488)",Second,Dijual,,172669.0,Baik
Genteng,"Jalan M.H Thamrin, Genteng, Surabaya",1564,Belum Bersertifikat,"Jalan M.H Thamrin, Genteng, Surabaya (-7.343292, 112.792011)",Second,Disewa/Dijual,,52924.0,Baik
Genteng,"Jl. HOS. Cokroaminoto, Genteng, Surabaya",1099,HGB,"Jl. HOS. Cokroaminoto, Genteng, Surabaya (-7.275004, 112.747030)",Second,Dijual,,52924.0,Baik
Benowo,"Jalan Rajawali Barat, Benowo, Surabaya",979,HGB,"Jalan Rajawali Barat, Benowo, Surabaya (-7.329009, 112.702900)",Second,Dijual,,69938.0,Baik
Genteng,"Jl. Sukabumi, Genteng, Surabaya",1571,HGB,"Jl. Sukabumi, Genteng, Surabaya (-7.260195, 112.768982)",Second,Disewa,,52924.0,Buruk
Benowo,"Gg. Rajiman, Benowo, Surabaya",1486,SHM,"Gg. Rajiman, Benowo, Surabaya (-7.329486, 112.748184)",Second,Dijual,,69938.0,Baik
Dukuh Pakis,"Gang Sentot Alibasa, Dukuh Pakis, Surabaya",1215,Belum Bersertifikat,"Gang Sentot Alibasa, Dukuh Pakis, Surabaya (-7.330931, 112.712435)",Second,Disewa,,56707.0,Baik
Tambaksari,"Gg. Rumah Sakit, Tambaksari, Surabaya",1923,HGB,"Gg. Rumah Sakit, Tambaksari, Surabaya (-7.346345, 112.721427)",Second,Dijual,,214966.0,Baik
Lakarsantri,"Jl. S. Parman, Lakarsantri, Surabaya",1009,SHM,"Jl. S. Parman, Lakarsantri, Surabaya (-7.302793, 112.706449)",Second,Dijual,,59256.0,Baik
Simokerto,"Jl. Jakarta, Simokerto, Surabaya",1152,SHM,"Jl. Jakarta, Simokerto, Surabaya (-7.293516, 112.757429)",Second,Dijual,,86897.0,Baik
Semampir,"Gg. Rawamangun, Semampir, Surabaya",811,HGB,"Gg. Rawamangun, Semampir, Surabaya (-7.343429, 112.762203)",Second,Disewa,,172669.0,Baik
Sambikerep,"Gang Erlangga, Sambikerep, Surabaya",1764,SHM,"Gang Erlangga, Sambikerep, Surabaya (-7.272447, 112.750574)",Second,Disewa/Dijual,,63778.0,Baik
Simokerto,"Jalan Ir. H. Djuanda, Simokerto, Surabaya",1363,HGB,"Jalan Ir. H. Djuanda, Simokerto, Surabaya (-7.304671, 112.781710)",Second,Disewa,,86897.0,Baik
Kenjeran,"Gg. Raya Ujungberung, Kenjeran, Surabaya",1872,SHM,"Gg. Raya Ujungberung, Kenjeran, Surabaya (-7.297561, 112.786101)",Second,Dijual,,181325.0,Baik
Sukolilo,"Jalan Pelajar Pejuang, Sukolilo, Surabaya",1057,SHM,"Jalan Pelajar Pejuang, Sukolilo, Surabaya (-7.305924, 112.761562)",Second,Disewa/Dijual,,110557.0,Baik
Simokerto,"Gg. Pasirkoja, Simokerto, Surabaya",1664,HGB,"Gg. Pasirkoja, Simokerto, Surabaya (-7.309924, 112.701276)",Second,Dijual,,86897.0,Baik
Genteng,"Jl. Raya Ujungberung, Genteng, Surabaya",1626,Girik,"Jl. Raya Ujungberung, Genteng, Surabaya (-7.294036, 112.769523)",Second,Disewa,,52924.0,Baik
Benowo,"Jalan HOS. Cokroaminoto, Benowo, Surabaya",1058,SHM,"Jalan HOS. Cokroaminoto, Benowo, Surabaya (-7.334476, 112.741800)",Second,Disewa,,69938.0,Baik
Wonokromo,"Jalan Raya Ujungberung, Wonokromo, Surabaya",1490,Belum Bersertifikat,"Jalan Raya Ujungberung, Wonokromo, Surabaya (-7.331807, 112.756556)",Second,Disewa/Dijual,,144650.0,Baik
Asemrowo,"Jl. Ronggowarsito, Asemrowo, Surabaya",883,Belum Bersertifikat,"Jl. Ronggowarsito, Asemrowo, Surabaya (-7.263821, 112.764908)",Second,Disewa,916000.0,45547.0,Buruk
Tandes,"Jl. Laswi, Tandes, Surabaya",1312,Girik,"Jl. Laswi, Tandes, Surabaya (-7.255388, 112.735024)",Second,Dijual,,87511.0,Buruk
Gubeng,"Gg. H.J Maemunah, Gubeng, Surabaya",1818,SHM,"Gg. H.J Maemunah, Gubeng, Surabaya (-7.312669, 112.791710)",Second,Disewa/Dijual,1147000.0,123961.0,Baik
Pabean Cantikan,"Gang Gardujati, Pabean Cantikan, Surabaya",979,HGB,"Gang Gardujati, Pabean Cantikan, Surabaya (-7.322926, 112.713397)",Second,Dijual,,,Baik
Dukuh Pakis,"Jl. Cempaka, Dukuh Pakis, Surabaya",1251,Girik,"Jl. Cempaka, Dukuh Pakis, Surabaya (-7.285600, 112.767151)",Second,Disewa/Dijual,,56707.0,Baik
Sukolilo,"Gang Suniaraja, Sukolilo, Surabaya",848,Belum Bersertifikat,"Gang Suniaraja, Sukolilo, Surabaya (-7.309127, 112.700436)",Second,Disewa/Dijual,,110557.0,Baik
Lakarsantri,"Gg. R.E Martadinata, Lakarsantri, Surabaya",965,Belum Bersertifikat,"Gg. R.E Martadinata, Lakarsantri, Surabaya (-7.347461, 112.792465)",Second,Dijual,,59256.0,Baik
Rungkut,"Jalan Kutai, Rungkut, Surabaya",1359,HGB,"Jalan Kutai, Rungkut, Surabaya (-7.334385, 112.711250)",Second,Disewa,,123757.0,Baik
Genteng,"Jalan Joyoboyo, Genteng, Surabaya",831,SHM,"Jalan Joyoboyo, Genteng, Surabaya (-7.278403, 112.709488)",Second,Dijual,,52924.0,Baik
Tambaksari,"Gg. KH Amin Jasuta, Tambaksari, Surabaya",1747,SHM,"Gg. KH Amin Jasuta, Tambaksari, Surabaya (-7.284108, 112.733301)",Second,Disewa,,214966.0,Baik
Simokerto,"Jl. Jayawijaya, Simokerto, Surabaya",1546,HGB,"Jl. Jayawijaya, Simokerto, Surabaya (-7.347290, 112.737357)",Second,Disewa,,86897.0,Baik
Rungkut,"Gg. M.T Haryono, Rungkut, Surabaya",1678,SHM,"Gg. M.T Haryono, Rungkut, Surabaya (-7.327803, 112.721430)",Second,Dijual,,123757.0,Baik
Semampir,"Jl. Cikutra Timur, Semampir, Surabaya",1868,Belum Bersertifikat,"Jl. Cikutra Timur, Semampir, Surabaya (-7.326893, 112.758512)",Second,Disewa/Dijual,,172669.0,Baik
Lakarsantri,"Jalan Rungkut Industri, Lakarsantri, Surabaya",1213,SHM,"Jalan Rungkut Industri, Lakarsantri, Surabaya (-7.282811, 112.744291)",Second,Dijual,,59256.0,Baik
Genteng,"Gang Tebet Barat Dalam, Genteng, Surabaya",723,SHM,"Gang Tebet Barat Dalam, Genteng, Surabaya (-7.348029, 112.703418)",Second,Disewa/Dijual,,52924.0,Baik
Sawahan,"Jl. Joyoboyo, Sawahan, Surabaya",1923,SHM,"Jl. Joyoboyo, Sawahan, Surabaya (-7.339589, 112.731965)",Second,Disewa,1032000.0,188693.0,Baik
Rungkut,"Gg. Moch. Toha, Rungkut, Surabaya",1248,Belum Bersertifikat,"Gg. Moch. Toha, Rungkut, Surabaya (-7.270008, 112.781043)",Second,Disewa/Dijual,,123757.0,Baik
Bulak,"Gg. Suryakencana, Bulak, Surabaya",785,HGB,"Gg. Suryakencana, Bulak, Surabaya (-7.332146, 112.768970)",Second,Dijual,,43764.0,Baik
Wonokromo,"Jalan Kutisari Selatan, Wonokromo, Surabaya",1726,Girik,"Jalan Kutisari Selatan, Wonokromo, Surabaya (-7.284725, 112.772487)",Second,Disewa/Dijual,,144650.0,Baik
Gubeng,"Jalan Jamika, Gubeng, Surabaya",1299,Belum Bersertifikat,"Jalan Jamika, Gubeng, Surabaya (-7.326182, 112.769812)",Second,Disewa,1147000.0,123961.0,Baik
Rungkut,"Gang Siliwangi, Rungkut, Surabaya",887,Belum Bersertifikat,"Gang Siliwangi, Rungkut, Surabaya (-7.340056, 112.731097)",Second,Disewa,,123757.0,Baik
Sawahan,"Jalan Sadang Serang, Sawahan, Surabaya",1003,Girik,"Jalan Sadang Serang, Sawahan, Surabaya (-7.325683, 112.709966)",Second,Disewa/Dijual,1032000.0,188693.0,Baik
Tambaksari,"Gg. Kiaracondong, Tambaksari, Surabaya",1388,SHM,"Gg. Kiaracondong, Tambaksari, Surabaya (-7.277773, 112.727247)",Second,Disewa,,214966.0,Baik
Dukuh Pakis,"Jalan Kapten Muslihat, Dukuh Pakis, Surabaya",1168,HGB,"Jalan Kapten Muslihat, Dukuh Pakis, Surabaya (-7.264430, 112.783179)",Second,Disewa,,56707.0,Buruk
Pabean Cantikan,"Jalan Lembong, Pabean Cantikan, Surabaya",1426,HGB,"Jalan Lembong, Pabean Cantikan, Surabaya (-7.266978, 112.798047)",Second,Disewa/Dijual,,,Buruk
Tambaksari,"Gang Sukabumi, Tambaksari, Surabaya",1165,HGB,"Gang Sukabumi, Tambaksari, Surabaya (-7.310282, 112.749385)",Second,Disewa,,214966.0,Baik
Lakarsantri,"Gang R.E Martadinata, Lakarsantri, Surabaya",796,HGB,"Gang R.E Martadinata, Lakarsantri, Surabaya (-7.283191, 112.700970)",Second,Disewa/Dijual,,59256.0,Baik
Tandes,"Jl. Otto Iskandardinata, Tandes, Surabaya",1079,Girik,"Jl. Otto Iskandardinata, Tandes, Surabaya (-7.329502, 112.714004)",Second,Disewa/Dijual,,87511.0,Baik
Sukolilo,"Gang Jend. Sudirman, Sukolilo, Surabaya",1579,Girik,"Gang Jend. Sudirman, Sukolilo, Surabaya (-7.320685, 112.732208)",Second,Disewa,,110557.0,Baik
Lakarsantri,"Jl. Cihampelas, Lakarsantri, Surabaya",755,HGB,"Jl. Cihampelas, Lakarsantri, Surabaya (-7.260366, 112.757859)",Second,Disewa/Dijual,,59256.0,Buruk
Rungkut,"Jl. Wonoayu, Rungkut, Surabaya",796,SHM,"Jl. Wonoayu, Rungkut, Surabaya (-7.348700, 112.707509)",Second,Disewa,,123757.0,Baik
Benowo,"Gang Suniaraja, Benowo, Surabaya",1829,HGB,"Gang Suniaraja, Benowo, Surabaya (-7.341449, 112.794336)",Second,Disewa,,69938.0,Baik
Lakarsantri,"Gang Surapati, Lakarsantri, Surabaya",1554,Girik,"Gang Surapati, Lakarsantri, Surabaya (-7.329211, 112.736508)",Second,Disewa,,59256.0,Baik
Bulak,"Jalan Kebonjati, Bulak, Surabaya",1541,SHM,"Jalan Kebonjati, Bulak, Surabaya (-7.347347, 112.791258)",Second,Dijual,,43764.0,Baik
Rungkut,"Gg. Raya Setiabudhi, Rungkut, Surabaya",1924,SHM,"Gg. Raya Setiabudhi, Rungkut, Surabaya (-7.331856, 112.778052)",Second,Disewa,,123757.0,Baik
Bulak,"Gg. Pelajar Pejuang, Bulak, Surabaya",1923,SHM,"Gg. Pelajar Pejuang, Bulak, Surabaya (-7.291696, 112.775544)",Second,Disewa/Dijual,,43764.0,Baik
Sukolilo,"Jalan Moch. Toha, Sukolilo, Surabaya",1031,Girik,"Jalan Moch. Toha, Sukolilo, Surabaya (-7.307858, 112.760672)",Second,Disewa/Dijual,,110557.0,Baik
Dukuh Pakis,"Jl. Rawamangun, Dukuh Pakis, Surabaya",1066,Girik,"Jl. Rawamangun, Dukuh Pakis, Surabaya (-7.260733, 112.762678)",Second,Disewa/Dijual,,56707.0,Buruk
Genteng,"Jalan Kendalsari, Genteng, Surabaya",1578,Girik,"Jalan Kendalsari, Genteng, Surabaya (-7.268256, 112.763800)",Second,Dijual,,52924.0,Buruk
Simokerto,"Jl. Rajawali Timur, Simokerto, Surabaya",1640,SHM,"Jl. Rajawali Timur, Simokerto, Surabaya (-7.315818, 112.762872)",Second,Dijual,,86897.0,Baik
Rungkut,"Jl. Monginsidi, Rungkut, Surabaya",1113,Belum Bersertifikat,"Jl. Monginsidi, Rungkut, Surabaya (-7.324058, 112.755373)",Second,Disewa/Dijual,,123757.0,Baik
Simokerto,"Jl. Sukabumi, Simokerto, Surabaya",770,Belum Bersertifikat,"Jl. Sukabumi, Simokerto, Surabaya (-7.312031, 112.798641)",Second,Disewa/Dijual,,86897.0,Baik
Krembangan,"Gang Jayawijaya, Krembangan, Surabaya",1700,Belum Bersertifikat,"Gang Jayawijaya, Krembangan, Surabaya (-7.290971, 112.773229)",Second,Dijual,,109027.0,Baik
Bulak,"Jalan R.E Martadinata, Bulak, Surabaya",1495,Belum Bersertifikat,"Jalan R.E Martadinata, Bulak, Surabaya (-7.323194, 112.777695)",Second,Disewa/Dijual,,43764.0,Baik
Sukolilo,"Gg. Antapani Lama, Sukolilo, Surabaya",1165,Belum Bersertifikat,"Gg. Antapani Lama, Sukolilo, Surabaya (-7.287585, 112.787246)",Second,Disewa,,110557.0,Baik
Genteng,"Jl. Astana Anyar, Genteng, Surabaya",1280,HGB,"Jl. Astana Anyar, Genteng, Surabaya (-7.309059, 112.721564)",Second,Disewa,,52924.0,Baik
Sawahan,"Gang M.H Thamrin, Sawahan, Surabaya",1414,SHM,"Gang M.H Thamrin, Sawahan, Surabaya (-7.294795, 112.708380)",Second,Disewa/Dijual,1032000.0,188693.0,Baik
Gubeng,"Jl. Raya Setiabudhi, Gubeng, Surabaya",1420,Belum Bersertifikat,"Jl. Raya Setiabudhi, Gubeng, Surabaya (-7.306387, 112.748289)",Second,Disewa,1147000.0,123961.0,Baik
Krembangan,"Jalan Suryakencana, Krembangan, Surabaya",1320,SHM,"Jalan Suryakencana, Krembangan, Surabaya (-7.320553, 112.751408)",Second,Disewa/Dijual,,109027.0,Baik
Karang Pilang,"Jalan Siliwangi, Karang Pilang, Surabaya",826,HGB,"Jalan Siliwangi, Karang Pilang, Surabaya (-7.255155, 112.782918)",Second,Dijual,862000.0,,Buruk
Genteng,"Jl. Pasirkoja, Genteng, Surabaya",964,Belum Bersertifikat,"Jl. Pasirkoja, Genteng, Surabaya (-7.273639, 112.744378)",Second,Disewa/Dijual,,52924.0,Baik
Semampir,"Jl. Kapten Muslihat, Semampir, Surabaya",729,Girik,"Jl. Kapten Muslihat, Semampir, Surabaya (-7.335989, 112.757085)",Second,Dijual,,172669.0,Baik
Tegalsari,"Gg. Pelajar Pejuang, Tegalsari, Surabaya",753,Belum Bersertifikat,"Gg. Pelajar Pejuang, Tegalsari, Surabaya (-7.263153, 112.752707)",Second,Disewa,,92014.0,Buruk
Genteng,"Gg. Pelajar Pejuang, Genteng, Surabaya",1512,Girik,"Gg. Pelajar Pejuang, Genteng, Surabaya (-7.301257, 112.703820)",Second,Disewa,,52924.0,Baik
Dukuh Pakis,"Jl. Cikutra Timur, Dukuh Pakis, Surabaya",1591,Belum Bersertifikat,"Jl. Cikutra Timur, Dukuh Pakis, Surabaya (-7.260545, 112.761521)",Second,Disewa,,56707.0,Buruk
Sawahan,"Gang Stasiun Wonokromo, Sawahan, Surabaya",1057,SHM,"Gang Stasiun Wonokromo, Sawahan, Surabaya (-7.270014, 112.782804)",Second,Disewa/Dijual,1032000.0,188693.0,Baik
Karang Pilang,"Jalan Rungkut Industri, Karang Pilang, Surabaya",1231,SHM,"Jalan Rungkut Industri, Karang Pilang, Surabaya (-7.307479, 112.715750)",Second,Dijual,862000.0,,Baik
Bulak,"Jalan Antapani Lama, Bulak, Surabaya",1483,SHM,"Jalan Antapani Lama, Bulak, Surabaya (-7.347753, 112.759433)",Second,Dijual,,43764.0,Baik
Pakal,"Gg. Rajawali Timur, Pakal, Surabaya",1381,Girik,"Gg. Rajawali Timur, Pakal, Surabaya (-7.323132, 112.759361)",Second,Disewa,,59971.0,Baik
Lakarsantri,"Jalan Gedebage Selatan, Lakarsantri, Surabaya",1480,HGB,"Jalan Gedebage Selatan, Lakarsantri, Surabaya (-7.295837, 112.716418)",Second,Disewa,,59256.0,Baik
Gubeng,"Gg. Rungkut Industri, Gubeng, Surabaya",1760,SHM,"Gg. Rungkut Industri, Gubeng, Surabaya (-7.286652, 112.712346)",Second,Dijual,1147000.0,123961.0,Baik
Pabean Cantikan,"Jalan Ahmad Dahlan, Pabean Cantikan, Surabaya",1276,HGB,"Jalan Ahmad Dahlan, Pabean Cantikan, Surabaya (-7.324211, 112.798005)",Second,Disewa/Dijual,,,Baik
Genteng,"Jalan Astana Anyar, Genteng, Surabaya",896,Girik,"Jalan Astana Anyar, Genteng, Surabaya (-7.336064, 112.739372)",Second,Disewa,,52924.0,Baik
Rungkut,"Gg. Pacuan Kuda, Rungkut, Surabaya",1099,Belum Bersertifikat,"Gg. Pacuan Kuda, Rungkut, Surabaya (-7.266507, 112.722742)",Second,Disewa/Dijual,,123757.0,Buruk
Sukolilo,"Jl. Pasteur, Sukolilo, Surabaya",1671,SHM,"Jl. Pasteur, Sukolilo, Surabaya (-7.251560, 112.717132)",Second,Disewa,,110557.0,Buruk
Kenjeran,"Gang Asia Afrika, Kenjeran, Surabaya",977,SHM,"Gang Asia Afrika, Kenjeran, Surabaya (-7.297431, 112.766760)",Second,Disewa,,181325.0,Baik
Gubeng,"Gang Moch. Ramdan, Gubeng, Surabaya",1409,Girik,"Gang Moch. Ramdan, Gubeng, Surabaya (-7.332832, 112.760945)",Second,Disewa/Dijual,1147000.0,123961.0,Baik
Simokerto,"Jl. Cikutra Timur, Simokerto, Surabaya",1493,Belum Bersertifikat,"Jl. Cikutra Timur, Simokerto, Surabaya (-7.322769, 112.764355)",Second,Disewa/Dijual,,86897.0,Baik
Sawahan,"Jl. Rumah Sakit, Sawahan, Surabaya",939,Belum Bersertifikat,"Jl. Rumah Sakit, Sawahan, Surabaya (-7.348161, 112.708801)",Second,Disewa/Dijual,1032000.0,188693.0,Baik
Semampir,"Jl. Cihampelas, Semampir, Surabaya",1000,HGB,"Jl. Cihampelas, Semampir, Surabaya (-7.258570, 112.789353)",Second,Disewa/Dijual,,172669.0,Buruk
Sawahan,"Jalan Jend. A. Yani, Sawahan, Surabaya",1196,Girik,"Jalan Jend. A. Yani, Sawahan, Surabaya (-7.338225, 112.738927)",Second,Dijual,1032000.0,188693.0,Baik
Karang Pilang,"Jalan Jend. A. Yani, Karang Pilang, Surabaya",1458,Belum Bersertifikat,"Jalan Jend. A. Yani, Karang Pilang, Surabaya (-7.292348, 112.731337)",Second,Dijual,862000.0,,Baik
Tandes,"Gg. Kapten Muslihat, Tandes, Surabaya",835,Belum Bersertifikat,"Gg. Kapten Muslihat, Tandes, Surabaya (-7.322594, 112.746236)",Second,Disewa,,87511.0,Baik
